TXN_ID,REQUEST_TYPE,TOKEN_ID,TOKEN_VALUE,AMOUNT,STATUS,TYPE,PURPOSE,CREATED_DATE,UPDATED_DATE
IDFrF8RGBuynJLtUPAxbkYsB9pU4COO9xg9,ABAS-BANK-INPUT,000fbddb5dd3fb451475045ab624bd62c3d8cbec2fd4ceda97036d69f8ca24ad,996370,1000,C,ISSUE-U,ISSUE-U,43:56.1,43:56.2
IDFYO1qADGpJLzmJJULKOUzl8GCpIrtxoPZ,ABAS-BANK-OUTPUT,000fbddb5dd3fb451475045ab624bd62c3d8cbec2fd4ceda97036d69f8ca24ad,996370,2096,C,ISSUE-U,ISSUE-U,41:04.8,41:04.9
IDF229a86315d414bfe8d97bf9aa19fe6a9,ABAS-OUTPUT,003b6b747d0636aaa7b5f5b2a1db0015fe862b725068ba6bc425c5d129622e8b,200,200,C,PAY-ONUS,PAY-ONUS,27:41.2,27:45.9
IDF229a86315d414bfe8d97bf9aa19fe6a9,ABAS-INPUT,003b6b747d0636aaa7b5f5b2a1db0015fe862b725068ba6bc425c5d129622e8b,200,200,C,PAY-ONUS,PAY-ONUS,27:41.2,27:45.9
IDF025243f468af46a4972b4a0623209c33,ABAS-OUTPUT,004dc2ef293421e0c333473485840330ee7e065f1c40c28f548dea2743c7d8af,200,200,R,PAY-ONUS,PAY-ONUS,40:11.1,40:15.7
IDF4da9b53e48834c8abddc4c39381c8929,ABAS-INPUT,004dc2ef293421e0c333473485840330ee7e065f1c40c28f548dea2743c7d8af,200,100,C,PAY-OFFUS,PAY-OFFUS,49:55.8,50:01.3
IDFGY2FFeg6B5lfhvFhBiNhXPN0IxWOYWuy,ABAS-BANK-OUTPUT,00546649e72e6a1e5f5211e272797951e3ecea9493e05d7d17966bc105d15331,158672,100,C,ISSUE-U,ISSUE-U,38:35.9,38:36.0
IDFK3cYrHoDQSYYQLYU8Ib7wyUIkZs8oLhX,ABAS-BANK-INPUT,00546649e72e6a1e5f5211e272797951e3ecea9493e05d7d17966bc105d15331,158672,20000,C,ISSUE-U,ISSUE-U,52:44.4,52:44.5
IDF8bfd8382181e44ae903746e9b9788830,ABAS-BANK-OUTPUT,00ba5ff1d6e041452b7f740f9ede1819e7bc7174550edb5cb387d9d1e5605bb8,40,960,C,ISSUE-U,ISSUE-U,18:00.8,18:00.9
IDFTBLHTokUQvLjJYWk4V2yRNHjTAOxA1ju,ABAS-INPUT,00ba5ff1d6e041452b7f740f9ede1819e7bc7174550edb5cb387d9d1e5605bb8,40,40,C,ISSUE-U,ISSUE-U,23:07.8,23:07.8
IDFCAFOgH9ICibFEot99zNWKNR8ailT5BQs,ABAS-OUTPUT,00db1761e82c2721d4c17cf9b0411b60d00f0dd1bae507f7018f05e4964c8cb0,10001,1,C,PAY-ONUS,PAY-ONUS,27:54.7,27:55.3
IDFo2SH7z2rRWt2tkjgHazQqJZuzqGq4R5k,ABAS-INPUT,00db1761e82c2721d4c17cf9b0411b60d00f0dd1bae507f7018f05e4964c8cb0,10001,100,C,PAY-OFFUS,PAY-OFFUS,31:12.3,31:13.2
IDF3VTpgnVbetHvr3i2n5KcPioV9Ie2dZhc,ABAS-INPUT,0103043683fef5b611aa162b7a4f436f247ec586ad3cb455e62ee9e920a0eddc,856,221,C,PAY-ONUS,PAY-ONUS,00:52.2,00:52.9
IDFOEnsgwJWVtskE5NaAqylgMLaKAlBnkBz,ABAS-OUTPUT,0103043683fef5b611aa162b7a4f436f247ec586ad3cb455e62ee9e920a0eddc,856,100,C,PAY-ONUS,PAY-ONUS,53:38.1,53:38.7
IDFSYSTXN21c6c381ea59447f852fd5c14c,ABAS-OUTPUT,01214ecec61026ce2e2212ff0b33aff2714d998cd2e412ffd861a217b13bc827,34578,2122,P,REDEEM-U,REDEEM-U,37:39.7,
IDFSYSTXN73d8f510ce304f10b31e44758f,ABAS-INPUT,01214ecec61026ce2e2212ff0b33aff2714d998cd2e412ffd861a217b13bc827,34578,200,C,REDEEM-U,REDEEM-U,39:36.3,39:36.7
IDF9QiLPRmvFUOYyivvNkJDAdDFGjLjoRLX,ABAS-OUTPUT,5cde37a4703310b8910b0e2d6e2e3089a7bd4d2b617007de7af00af4a1483956,1250,1250,C,PAY-OFFUS,PAY-OFFUS,37:35.7,37:36.9
IDFD8uNGuriRafrUgBVq7YXi9V4supCJ5lY,ABAS-BANK-OUTPUT,0167dfada85e92a955a47bcce2ac3fb8dac65d8ea1ef7b1ec74bd9fe46030266,1206730,10000,C,ISSUE-U,ISSUE-U,34:52.5,34:52.6
IDFV2HDRvrKCHDmBheHh0D5CWcoXgVrPqsh,ABAS-BANK-INPUT,0167dfada85e92a955a47bcce2ac3fb8dac65d8ea1ef7b1ec74bd9fe46030266,1206730,100000,C,ISSUE-U,ISSUE-U,35:04.8,35:04.8
IDFg3wiXEytFELtjxJMC0PvV92E9ZbWMgZ2,ABAS-OUTPUT,67cccdd7c88a32e5481c999deacd74dcca2205dd7c752067281157c24a78155a,100,100,P,REDEEM-U,UPI,51:51.9,
IDF47uvT5B6wklgb8aFdPapHCYDpTH2XzXt,ABAS-OUTPUT,01966f1f8ffb0d3ebaac41d8548ed9e625922c3bdb20d366412a53471d3d6035,214755,1000,C,PAY-ONUS,PAY-ONUS,07:13.9,07:14.4
IDFHFAr1B8tGds0J0sTdimWqrbwNevLe2gf,ABAS-INPUT,01966f1f8ffb0d3ebaac41d8548ed9e625922c3bdb20d366412a53471d3d6035,214755,100,C,REDEEM-U,REDEEM-U,48:38.1,48:38.7
IDF4m2R1DWeEDtl0cWenY9RavJkZbzJkKf0,ABAS-OUTPUT,01993932441f7a9b4284ed231625fe13d133972d192a487a1a615c54e9dcfc9e,200,200,C,REDEEM-U,UPI,11:09.5,11:18.9
IDF8sQn62fxaxFDIhbZuSgrsNsIhpMVdbei,ABAS-BANK-INPUT,01993932441f7a9b4284ed231625fe13d133972d192a487a1a615c54e9dcfc9e,200,123,C,ISSUE-U,ISSUE-U,12:07.1,12:07.2
IDF6IxrZFerLgaxYY7ZcAaSwI4pcy1Yv9bA,ABAS-BANK-INPUT,01b1dc2d17d384bed22e3f09c849779c73ecbf5bb50f3fba62b3eae3ba0fe8e1,198800,1000,C,ISSUE-U,ISSUE-U,16:56.2,16:56.3
